,Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,employee_residence_latitude,employee_residence_longitude,employee_residence_a3
65,65,2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,39.7837304,-100.445882,USA
66,66,2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,39.7837304,-100.445882,USA
67,67,2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,39.7837304,-100.445882,USA
68,68,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,39.7837304,-100.445882,USA
69,69,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,39.7837304,-100.445882,USA
70,70,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,39.7837304,-100.445882,USA
71,71,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,39.7837304,-100.445882,USA
72,72,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,39.7837304,-100.445882,USA
73,73,2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,39.7837304,-100.445882,USA
74,74,2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,39.7837304,-100.445882,USA
75,75,2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,39.7837304,-100.445882,USA
76,76,2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,39.7837304,-100.445882,USA
77,77,2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,39.7837304,-100.445882,USA
78,78,2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,39.7837304,-100.445882,USA
79,79,2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,39.7837304,-100.445882,USA
80,80,2023,MI,FT,Data Scientist,510000,HKD,65062,HK,0,HK,L,22.350627,114.1849161,HKG
81,81,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,39.6621648,-8.1353519,PRT
82,82,2023,MI,FT,Applied Machine Learning Engineer,65000,EUR,69751,IN,100,DE,S,22.3511148,78.6677428,IND
83,83,2022,EN,FT,AI Developer,300000,USD,300000,IN,50,IN,L,22.3511148,78.6677428,IND
84,84,2023,MI,FT,Machine Learning Engineer,90000,EUR,96578,NL,100,NL,L,52.24764975,5.541246849406163,NLD
85,85,2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,39.7837304,-100.445882,USA
86,86,2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,39.7837304,-100.445882,USA
87,87,2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,39.7837304,-100.445882,USA
88,88,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,39.7837304,-100.445882,USA
89,89,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,39.7837304,-100.445882,USA
90,90,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,39.7837304,-100.445882,USA
91,91,2023,SE,FT,Data Scientist,45000,EUR,48289,ES,0,ES,M,39.3260685,-4.8379791,ESP
92,92,2023,SE,FT,Data Scientist,36000,EUR,38631,ES,0,ES,M,39.3260685,-4.8379791,ESP
93,93,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,39.7837304,-100.445882,USA
94,94,2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,39.7837304,-100.445882,USA
95,95,2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,39.7837304,-100.445882,USA
96,96,2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,39.7837304,-100.445882,USA
97,97,2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,39.7837304,-100.445882,USA
98,98,2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,39.7837304,-100.445882,USA
99,99,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,39.7837304,-100.445882,USA
100,100,2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,39.7837304,-100.445882,USA
101,101,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
102,102,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,39.7837304,-100.445882,USA
103,103,2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,39.7837304,-100.445882,USA
104,104,2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,39.7837304,-100.445882,USA
105,105,2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,39.7837304,-100.445882,USA
106,106,2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,39.7837304,-100.445882,USA
107,107,2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,39.7837304,-100.445882,USA
108,108,2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,39.7837304,-100.445882,USA
109,109,2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,39.7837304,-100.445882,USA
110,110,2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,39.7837304,-100.445882,USA
111,111,2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,39.7837304,-100.445882,USA
112,112,2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,39.7837304,-100.445882,USA
113,113,2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,39.7837304,-100.445882,USA
114,114,2022,EN,FT,Machine Learning Engineer,54000,CHF,56536,CH,100,CH,S,46.7985624,8.2319736,CHE
115,115,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,39.7837304,-100.445882,USA
116,116,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,39.7837304,-100.445882,USA
117,117,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,39.7837304,-100.445882,USA
118,118,2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,39.7837304,-100.445882,USA
119,119,2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,39.7837304,-100.445882,USA
120,120,2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,39.7837304,-100.445882,USA
121,121,2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,39.7837304,-100.445882,USA
122,122,2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,39.7837304,-100.445882,USA
123,123,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,39.7837304,-100.445882,USA
124,124,2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,39.7837304,-100.445882,USA
125,125,2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,39.7837304,-100.445882,USA
126,126,2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,39.7837304,-100.445882,USA
127,127,2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,39.7837304,-100.445882,USA
128,128,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,39.7837304,-100.445882,USA
129,129,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,39.7837304,-100.445882,USA
130,130,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,39.7837304,-100.445882,USA
131,131,2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,39.7837304,-100.445882,USA
132,132,2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,39.7837304,-100.445882,USA
133,133,2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,39.7837304,-100.445882,USA
134,134,2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,39.7837304,-100.445882,USA
135,135,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,39.7837304,-100.445882,USA
136,136,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,39.7837304,-100.445882,USA
137,137,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,39.7837304,-100.445882,USA
138,138,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,39.7837304,-100.445882,USA
139,139,2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,39.7837304,-100.445882,USA
140,140,2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,39.7837304,-100.445882,USA
141,141,2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,39.7837304,-100.445882,USA
142,142,2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,39.7837304,-100.445882,USA
143,143,2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,39.7837304,-100.445882,USA
144,144,2023,SE,FT,Data Analyst,138900,USD,138900,US,0,US,M,39.7837304,-100.445882,USA
145,145,2023,SE,FT,Machine Learning Engineer,318300,USD,318300,US,100,US,M,39.7837304,-100.445882,USA
146,146,2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100,US,M,39.7837304,-100.445882,USA
147,147,2023,SE,FT,Data Engineer,95000,USD,95000,US,100,US,M,39.7837304,-100.445882,USA
148,148,2023,SE,FT,Data Engineer,75000,USD,75000,US,100,US,M,39.7837304,-100.445882,USA
149,149,2023,SE,FT,Data Scientist,195000,USD,195000,US,0,US,M,39.7837304,-100.445882,USA
150,150,2023,SE,FT,Data Scientist,160000,USD,160000,US,0,US,M,39.7837304,-100.445882,USA
151,151,2023,SE,FT,Analytics Engineer,230000,USD,230000,US,0,US,M,39.7837304,-100.445882,USA
152,152,2023,SE,FT,Analytics Engineer,143200,USD,143200,US,0,US,M,39.7837304,-100.445882,USA
153,153,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,39.7837304,-100.445882,USA
154,154,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,39.7837304,-100.445882,USA
155,155,2023,MI,FT,Business Data Analyst,105000,USD,105000,US,50,US,L,39.7837304,-100.445882,USA
156,156,2023,MI,FT,Applied Data Scientist,1700000,INR,20670,IN,100,IN,L,22.3511148,78.6677428,IND
157,157,2023,MI,FT,Data Analyst,38000,GBP,46178,GB,0,GB,M,54.7023545,-3.2765753,GBR
158,158,2023,MI,FT,Data Analyst,35000,GBP,42533,GB,0,GB,M,54.7023545,-3.2765753,GBR
159,159,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
160,160,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,39.7837304,-100.445882,USA
161,161,2023,SE,FT,Data Analyst,168400,USD,168400,US,0,US,M,39.7837304,-100.445882,USA
162,162,2023,SE,FT,Data Analyst,105200,USD,105200,US,0,US,M,39.7837304,-100.445882,USA
163,163,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,39.7837304,-100.445882,USA
164,164,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,39.7837304,-100.445882,USA
165,165,2023,SE,FT,Machine Learning Engineer,190000,USD,190000,US,0,US,M,39.7837304,-100.445882,USA
166,166,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,US,0,US,M,39.7837304,-100.445882,USA
167,167,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,39.7837304,-100.445882,USA
168,168,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,39.7837304,-100.445882,USA
169,169,2023,SE,FT,Analytics Engineer,150000,USD,150000,US,100,US,M,39.7837304,-100.445882,USA
170,170,2023,SE,FT,Analytics Engineer,120000,USD,120000,US,100,US,M,39.7837304,-100.445882,USA
171,171,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
172,172,2023,SE,FT,Data Engineer,120000,USD,120000,US,0,US,M,39.7837304,-100.445882,USA
173,173,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,39.7837304,-100.445882,USA
174,174,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,39.7837304,-100.445882,USA
175,175,2023,SE,FT,Data Analyst,45000,GBP,54685,CF,100,CF,M,7.0323598,19.9981227,CAF
176,176,2023,SE,FT,Data Analyst,35000,GBP,42533,CF,100,CF,M,7.0323598,19.9981227,CAF
177,177,2023,SE,FT,Data Engineer,241000,USD,241000,US,0,US,M,39.7837304,-100.445882,USA
178,178,2023,SE,FT,Data Engineer,155000,USD,155000,US,0,US,M,39.7837304,-100.445882,USA
179,179,2023,SE,FT,Data Engineer,220000,USD,220000,US,100,US,M,39.7837304,-100.445882,USA
180,180,2023,SE,FT,Data Engineer,190000,USD,190000,US,100,US,M,39.7837304,-100.445882,USA
181,181,2023,MI,FT,Data Scientist,55000,GBP,66837,GB,0,GB,M,54.7023545,-3.2765753,GBR
182,182,2023,MI,FT,Data Scientist,45000,GBP,54685,GB,0,GB,M,54.7023545,-3.2765753,GBR
183,183,2020,EX,FT,Staff Data Analyst,15000,USD,15000,NG,0,CA,M,9.6000359,7.9999721,NGA
184,184,2023,MI,FT,ETL Engineer,70000,GBP,85066,GB,100,GB,M,54.7023545,-3.2765753,GBR
185,185,2023,MI,FT,ETL Engineer,47500,GBP,57723,GB,100,GB,M,54.7023545,-3.2765753,GBR
186,186,2023,EN,FT,Data Analyst,85000,USD,85000,US,100,US,M,39.7837304,-100.445882,USA
187,187,2023,EN,FT,Data Analyst,75000,USD,75000,US,100,US,M,39.7837304,-100.445882,USA
188,188,2023,SE,FT,Data Engineer,160000,USD,160000,US,0,US,M,39.7837304,-100.445882,USA
189,189,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,39.7837304,-100.445882,USA
190,190,2023,MI,FT,Machine Learning Engineer,300000,USD,300000,US,0,US,M,39.7837304,-100.445882,USA
191,191,2023,MI,FT,Machine Learning Engineer,250000,USD,250000,US,0,US,M,39.7837304,-100.445882,USA
192,192,2023,SE,FT,Data Scientist,228000,USD,228000,US,0,US,M,39.7837304,-100.445882,USA
193,193,2023,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M,39.7837304,-100.445882,USA
194,194,2023,SE,FT,Data Scientist,190000,USD,190000,US,0,US,M,39.7837304,-100.445882,USA
195,195,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,39.7837304,-100.445882,USA
196,196,2023,MI,FT,Research Engineer,230000,USD,230000,US,0,US,M,39.7837304,-100.445882,USA
197,197,2023,MI,FT,Research Engineer,200000,USD,200000,US,0,US,M,39.7837304,-100.445882,USA
198,198,2023,SE,FT,Data Architect,180000,USD,180000,US,100,US,M,39.7837304,-100.445882,USA
199,199,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,39.7837304,-100.445882,USA
200,200,2023,SE,FT,Data Architect,200000,USD,200000,US,100,US,M,39.7837304,-100.445882,USA
201,201,2023,SE,FT,Data Architect,115000,USD,115000,US,100,US,M,39.7837304,-100.445882,USA
202,202,2023,SE,FT,Data DevOps Engineer,50000,EUR,53654,FR,50,FR,S,46.603354,1.8883335,FRA
203,203,2023,EX,FT,Data Engineer,220000,USD,220000,US,0,US,M,39.7837304,-100.445882,USA
204,204,2023,EX,FT,Data Engineer,205000,USD,205000,US,0,US,M,39.7837304,-100.445882,USA
205,205,2023,MI,FT,Data Engineer,180000,USD,180000,US,0,US,M,39.7837304,-100.445882,USA
206,206,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,39.7837304,-100.445882,USA
207,207,2023,SE,FT,Data Engineer,200000,USD,200000,US,100,US,M,39.7837304,-100.445882,USA
208,208,2023,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M,39.7837304,-100.445882,USA
209,209,2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0,US,M,39.7837304,-100.445882,USA
210,210,2023,SE,FT,Computer Vision Engineer,170000,USD,170000,US,0,US,M,39.7837304,-100.445882,USA
211,211,2023,SE,FT,Machine Learning Engineer,247500,USD,247500,US,0,US,M,39.7837304,-100.445882,USA
212,212,2023,SE,FT,Machine Learning Engineer,172200,USD,172200,US,0,US,M,39.7837304,-100.445882,USA
213,213,2023,SE,FT,Data Scientist,224000,USD,224000,CA,0,CA,M,61.0666922,-107.991707,CAN
214,214,2023,SE,FT,Data Scientist,176000,USD,176000,CA,0,CA,M,61.0666922,-107.991707,CAN
215,215,2023,SE,FT,Data Analyst,120000,USD,120000,US,100,US,M,39.7837304,-100.445882,USA
216,216,2023,SE,FT,Data Analyst,75000,USD,75000,US,100,US,M,39.7837304,-100.445882,USA
217,217,2023,EN,FT,Data Engineer,1400000,INR,17022,IN,100,IN,L,22.3511148,78.6677428,IND
218,218,2023,SE,FT,Applied Data Scientist,100000,AUD,68318,AU,100,FI,M,-24.7761086,134.755,AUS
219,219,2023,MI,FT,AI Developer,100000,SGD,75020,FI,0,FI,M,63.2467777,25.9209164,FIN
220,220,2023,SE,FT,Data Analyst,140000,USD,140000,US,0,US,M,39.7837304,-100.445882,USA
221,221,2023,SE,FT,Data Analyst,120000,USD,120000,US,0,US,M,39.7837304,-100.445882,USA
222,222,2023,SE,FT,Data Engineer,128000,USD,128000,US,0,US,M,39.7837304,-100.445882,USA
223,223,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,39.7837304,-100.445882,USA
224,224,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
225,225,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,39.7837304,-100.445882,USA
226,226,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,39.7837304,-100.445882,USA
227,227,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,39.7837304,-100.445882,USA
228,228,2023,EX,FT,Head of Data,329500,USD,329500,US,0,US,M,39.7837304,-100.445882,USA
229,229,2023,EX,FT,Head of Data,269600,USD,269600,US,0,US,M,39.7837304,-100.445882,USA
230,230,2023,SE,FT,Data Quality Analyst,100000,USD,100000,US,0,US,M,39.7837304,-100.445882,USA
231,231,2023,SE,FT,Data Quality Analyst,80000,USD,80000,US,0,US,M,39.7837304,-100.445882,USA
232,232,2023,SE,FT,Data Scientist,250000,USD,250000,US,0,US,M,39.7837304,-100.445882,USA
233,233,2023,SE,FT,Data Scientist,162500,USD,162500,US,0,US,M,39.7837304,-100.445882,USA
234,234,2023,MI,FT,AI Developer,200000,USD,200000,US,100,US,M,39.7837304,-100.445882,USA
235,235,2023,SE,FT,Data Engineer,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
236,236,2023,SE,FT,Data Engineer,100000,USD,100000,US,0,US,M,39.7837304,-100.445882,USA
237,237,2023,EX,FT,Data Engineer,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
238,238,2023,EX,FT,Data Engineer,115000,USD,115000,US,0,US,M,39.7837304,-100.445882,USA
239,239,2023,SE,FT,Data Scientist,203500,USD,203500,US,0,US,M,39.7837304,-100.445882,USA
240,240,2023,SE,FT,Data Scientist,152000,USD,152000,US,0,US,M,39.7837304,-100.445882,USA
241,241,2023,SE,FT,Data Scientist,239000,USD,239000,US,0,US,L,39.7837304,-100.445882,USA
242,242,2023,SE,FT,Data Scientist,122900,USD,122900,US,0,US,L,39.7837304,-100.445882,USA
243,243,2023,SE,FT,Data Scientist,237000,USD,237000,US,0,US,M,39.7837304,-100.445882,USA
244,244,2023,SE,FT,Data Scientist,145000,USD,145000,US,0,US,M,39.7837304,-100.445882,USA
245,245,2023,SE,FT,Data Science Manager,191765,USD,191765,US,0,US,M,39.7837304,-100.445882,USA
246,246,2023,SE,FT,Data Science Manager,134236,USD,134236,US,0,US,M,39.7837304,-100.445882,USA
247,247,2023,SE,FT,Analytics Engineer,190000,USD,190000,US,100,US,M,39.7837304,-100.445882,USA
248,248,2023,SE,FT,Analytics Engineer,112000,USD,112000,US,100,US,M,39.7837304,-100.445882,USA
249,249,2022,SE,FT,Data Scientist,84000,EUR,88256,ES,100,GB,L,39.3260685,-4.8379791,ESP
250,250,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,39.7837304,-100.445882,USA
251,251,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,39.7837304,-100.445882,USA
252,252,2023,SE,FT,Data Analyst,135000,USD,135000,US,0,US,M,39.7837304,-100.445882,USA
253,253,2023,SE,FT,Data Analyst,105500,USD,105500,US,0,US,M,39.7837304,-100.445882,USA
254,254,2023,SE,FT,Research Engineer,293000,USD,293000,US,0,US,M,39.7837304,-100.445882,USA
255,255,2023,SE,FT,Research Engineer,185000,USD,185000,US,0,US,M,39.7837304,-100.445882,USA
256,256,2023,SE,FT,Data Analyst,80000,USD,80000,US,0,US,M,39.7837304,-100.445882,USA
257,257,2023,SE,FT,Data Analyst,70000,USD,70000,US,0,US,M,39.7837304,-100.445882,USA
